;VARIANZAS;RANGOS;SMAS;PROMEDIOS;SILIBANCIAS;ESTERTORES
0;1.26E-05;0.03183;0.008619;3.88E-08;0;0
1;1.53E-05;0.03648;0.00805;4.17E-08;0;0
2;1.75E-05;0.03736;0.007133;4.94E-08;0;0
3;1.41E-05;0.03511;0.005478;4.13E-08;0;0
4;1.73E-05;0.03942;0.010115;4.67E-08;0;0
5;1.67E-05;0.03985;0.012391;4.61E-08;0;0
6;1.51E-05;0.03478;0.013985;4.14E-08;0;0
7;1.63E-05;0.03777;0.014581;4.85E-08;0;0
8;1.59E-05;0.04078;0.012533;4.76E-08;0;0
9;1.50E-05;0.03701;0.011283;4.47E-08;0;0
10;1.41E-05;0.03383;0.010719;4.05E-08;0;0
11;1.55E-05;0.04005;0.010698;4.59E-08;0;0
12;;;;;;
13;1.99E-06;0.01191;0.00331;4.75E-09;0;0
14;2.39E-06;0.01706;0.005589;7.11E-09;0;0
15;2.11E-06;0.01677;0.005014;5.88E-09;0;0
16;2.50E-06;0.01367;0.003678;5.71E-09;0;0
17;2.43E-06;0.01533;0.002853;7.01E-09;0;0
18;2.89E-06;0.0172;0.004282;8.59E-09;0;0
19;2.19E-06;0.01426;0.003099;6.19E-09;0;0
20;2.11E-06;0.01131;0.002643;6.08E-09;0;0
21;2.04E-06;0.01472;0.004403;5.88E-09;0;0
22;2.99E-06;0.0177;0.005674;8.73E-09;0;0
23;5.21E-06;0.01428;0.004428;1.52E-08;0;0
24;;;;;;
25;2.29E-06;0.01444;0.003633;6.93E-09;0;0
26;3.59E-06;0.01477;0.003598;1.02E-08;0;0
27;1.79E-06;0.01384;0.003367;5.17E-09;0;0
28;2.67E-06;0.01452;0.003431;7.69E-09;0;0
29;2.76E-06;0.01486;0.003494;8.28E-09;0;0
30;2.88E-06;0.01603;0.004657;7.83E-09;0;0
31;2.67E-06;0.01372;0.003122;7.32E-09;0;0
32;3.30E-06;0.01643;0.004405;9.42E-09;0;0
33;2.52E-06;0.01602;0.003979;7.49E-09;0;0
34;2.71E-06;0.01941;0.004443;7.67E-09;0;0
35;3.05E-06;0.01745;0.002968;9.04E-09;0;0
36;2.96E-06;0.01508;0.002814;8.75E-09;0;0
37;7.69E-06;0.01611;0.003835;2.36E-08;0;0
38;;;;;;
39;5.24E-05;0.05074;0.025315;6.29E-08;0;1
40;3.13E-05;0.04139;0.027245;3.91E-08;0;0
41;2.73E-05;0.04765;0.012847;3.96E-08;0;1
42;1.77E-05;0.04088;0.003433;5.10E-08;0;1
43;1.91E-05;0.04279;0.006202;4.79E-08;0;1
44;1.26E-05;0.03556;0.008798;3.54E-08;0;0
45;;;;;;
46;1.95E-05;0.05074;0.011182;5.71E-08;0;0
47;2.18E-05;0.04773;0.008524;6.51E-08;0;0
48;1.92E-05;0.0491;0.011994;5.57E-08;0;0
49;2.02E-05;0.04747;0.009835;6.08E-08;0;0
50;2.39E-05;0.05928;0.011661;7.13E-08;0;0
51;2.25E-05;0.05189;0.015058;6.64E-08;0;0
52;;;;;;
53;1.36E-05;0.0375;0.008759;4.33E-08;0;1
54;2.22E-05;0.055;0.01244;6.52E-08;0;1
55;2.57E-05;0.04568;0.010625;7.69E-08;0;1
56;2.09E-05;0.05548;0.009465;6.06E-08;0;1
57;2.04E-05;0.05334;0.010583;5.74E-08;0;1
58;2.11E-05;0.04802;0.010205;6.29E-08;0;1
59;2.47E-05;0.04699;0.010411;7.29E-08;0;1
60;2.11E-05;0.04392;0.013795;6.39E-08;0;1
61;1.58E-05;0.04842;0.012327;4.67E-08;0;1
62;2.14E-05;0.05273;0.011795;6.28E-08;0;1
63;2.94E-05;0.05713;0.011073;8.71E-08;0;0
64;3.07E-05;0.04663;0.011352;9.55E-08;0;0
65;2.34E-05;0.04749;0.011626;6.96E-08;0;0
66;2.86E-05;0.05481;0.014206;8.54E-08;0;0
67;;;;;;
68;6.46E-06;0.02636;0.006461;1.91E-08;0;0
69;6.20E-06;0.02599;0.006935;1.86E-08;0;0
70;5.38E-06;0.02464;0.006334;1.61E-08;0;0
71;6.59E-06;0.02854;0.007738;1.91E-08;0;0
72;6.01E-06;0.02401;0.007772;1.81E-08;1;0
73;4.44E-06;0.02405;0.007538;1.30E-08;0;0
74;9.64E-06;0.03042;0.006585;2.81E-08;0;0
75;;;;;;
76;1.66E-05;0.04009;0.013027;4.88E-08;0;0
77;1.83E-05;0.0382;0.012936;5.31E-08;0;0
78;1.98E-05;0.04575;0.012186;5.92E-08;0;0
79;1.34E-05;0.03943;0.00838;4.00E-08;0;0
80;2.09E-05;0.04415;0.009869;5.76E-08;0;0
81;;;;;;
82;3.39E-05;0.04859;0.011841;9.54E-08;0;0
83;3.20E-05;0.05846;0.015294;9.50E-08;0;0
84;3.41E-05;0.05164;0.011933;9.96E-08;0;0
85;3.10E-05;0.0594;0.015172;9.33E-08;0;0
